FOLIO;ID_FICTICIO;FECHA_TERMINO;DURACION;VER_1;VER_2;VER_3;EDU_1_1;EDU_1_2;EDU_1_4;EDU_1_5;EDU_2_1;EDU_2_3;EDU_2_4;EDU_2_5;EDU_2_6;EDU_2_8;EDU_2_9;EDU_2_10;EDU_2_11;EDU_6_1;EDU_6_2;EDU_7_1;EDU_7_2;EDU_8;EDU_10_1;EDU_10_4;EDU_10_5;EDU_11_1;EDU_11_3;EDU_11_3_10;EDU_12_1;EDU_12_2;EDU_12_3;EDU_12_4;EDU_12_5;EDU_12_6;EDU_12_7;EDU_12_8;EDU_12_9;EDU_12_10;EDU_12_11;EDU_12_12;EDU_12_13;EDU_12_14;EDU_12_15;EDU_12_16;EDU_12_17;EDU_12_18;EDU_12_19;ECR_1;ECR_4_1;ECR_4_2;ECR_4_3;ECR_4_4;ECR_4_5;ECR_4_6;ECR_4_7;ECR_5;EMP_1;EMP_2;EMP_3A_0;EMP_3A_1_1;EMP_3A_1_2;EMP_3A_2;EMP_3A_3;EMP_3A_4;EMP_3A_5;EMP_3A_8;EMP_3A_9;EMP_3A_32;EMP_3A_33;EMP_3A_34;EMP_3A_35;EMP_3A_44;EMP_3A_45;EMP_3A_46;EMP_3A_47_1;EMP_3A_47_2;EMP_3A_47_3;EMP_3A_47_4;EMP_3A_47_5;EMP_6_1;EMP_7_1;EMP_7_2;EMP_7_3;EMP_7_4;EMP_7_5;EMP_7_6;EMP_7_7;EMP_7_8;EMP_7_9;EMP_7_10;EMP_7_11;EMP_7_12;EMP_7_13;EMP_7_14;EMP_7_15;EMP_7_16;EMP_7_17;EMP_7_18;EMP_7_19;EMP_8_1;EMP_9_1;EMP_9_2;EMP_9_3;EMP_9_4;EMP_9_5;EMP_9_6;EMP_9_7;EMP_9_8;EMP_9_9;EMP_9_10;EMP_9_11;EMP_9_12;EMP_9_13;GEN_0;GEN_1;GEN_2_1;GEN_2_2_1;GEN_2_2_2;EMP_3B_1;EMP_3B_2;EMP_3B_3;EMP_3B_4;EMP_3B_5;EMP_3B_8;EMP_3B_9;EMP_3B_44;EMP_3B_45;EMP_3B_46;EMP_3B_47_1;EMP_3B_47_2;EMP_3B_47_3;EMP_3B_47_4;EMP_3B_47_5;EMP_3B_48;EMP_3C_0;EMP_3C_1;EMP_10A_1;EMP_10B_0;EMP_10B_1;EMP_10B_2;EMP_10B_4;EMP_10B_5;EMP_10B_8;EMP_10B_9;EMP_10B_44;EMP_10B_45;EMP_10B_46;EMP_11_1;EMP_11_2;EMP_11_3;EMP_11_4;EMP_11_5;EMP_11_6;EMP_11_7;EMP_11_8;EMP_11_9;EMP_11_10;EMP_11_11;GEN_5_1;GEN_5_1_0;GEN_3_1_1;GEN_3_1_2;GEN_3_1_3;GEN_3_1_4;GEN_3_1_5;GEN_3_1_6;GEN_3_1_7;GEN_3_1_8;MOB_1A_1;MOB_1B_1;MOB_1B_2;MOB_1B_3;MOB_1B_6_1;MOB_1B_6_2;MOB_1B_6_3;MOB_1B_6_4;MOB_1B_6_5;MOB_1B_6_6;MOB_1B_6_7;MOB_1B_6_8;MOB_1B_6_9;MOB_1C_1;MOB_1C_2;MOB_1C_3;MOB_1C_6_1;MOB_1C_6_2;MOB_1C_6_3;MOB_1C_6_4;MOB_1C_6_5;MOB_1C_6_6;MOB_1C_6_7;MOB_1C_6_8;MOB_1C_6_9;MOB_4A_1;MOB_4A_2;MOB_4A_3;MOB_4A_4;MOB_5_1;MOB_6;MOB_7_1;MOB_7_2;MOB_7_3;MOB_7_4;MOB_7_5;MOB_7_6;MOB_7_7;CAR_1_1;CAR_1_2;CAR_1_3;CAR_1_4;CAR_3_1;CAR_3_2;CAR_3_3;CAR_3_4;CAR_3_5;CAR_3_6;CAR_3_7;CAR_3_8;CAR_3_9;CAR_3_10;CAR_3_11;CAR_5_1;CAR_6_1;CAR_6_2;CAR_6_3;CAR_6_4;CAR_6_5;CAR_6_6;CAR_6_7;CAR_6_8;CAR_6_9;CAR_6_10;CAR_6_11;CAR_6_12;CAR_7_1;CAR_8_1;CAR_8_2;CAR_9_1;CAR_10_1;CAR_13_1;CAR_14_1;CAR_15_1;CAR_16_1_1;CAR_16_1_2;CAR_16_1_3;CAR_16_1_4;CAR_16_1_5;CAR_16_1_6;CAR_16_1_7;CAR_16_1_8;CAR_17_1_1;CAR_17_1_2;CAR_17_1_3;CAR_17_1_4;CAR_17_1_5;CAR_17_1_6;CAR_17_1_7;CAR_17_1_8;CAR_18_1_1;CAR_18_1_2;CAR_18_1_3;CAR_18_1_4;CAR_18_1_5;CAR_18_1_6;CAR_19_1_1;CAR_19_1_2;CAR_19_1_3;CAR_19_1_4;CAR_19_1_5;CAR_19_1_6;CVD_1_1;CVD_2_1;CVD_2_2;CVD_3_1_1;CVD_3_1_2;CVD_3_1_3;CVD_3_1_4;CVD_3_1_5;CVD_3_1_6;CVD_3_1_7;CVD_3_1_8;CVD_3_1_9;CVD_3_1_10;PER_1_1;PER_1_2;PER_2_1;PER_3_2;PER_4_1;PER_5A_1;PER_5A_2;PER_5A_3;PER_5B_1;PER_6_1;PER_7_1;PER_7_2;PER_7_3;PER_7_4;PER_8_1;PER_8_2;PER_8_3;PER_8_4;PER_8_5;FACT;IMP_DATOS;ÍNDCONOCIMIENTOSDOCTORADO;ÍNDCONOCIMIENTOSEMPLEO;ÍNDDOCTORADO;ÍNDEMPLEOSATISFACCIÓN;ConDocCategorica;ConEmpleoCategorica;AfirDocCategorica;SatEmpleoCategórica
343552296;7042;15-03-2023;0d 0h:16m;1;1;1;Universidad Politécnica de Valencia;depto de alimentos;Europa y Asia central;;Ingeniería, industria y construcción;;;;;Fabricación y procesos;;;;(2000,2009];2;(2000,2009];2;1;1;2000;Chile;1;2;;4;5;999;2;2;2;5;4;5;4;5;4;4;3;3;2;2;2;3;2;;;;;;;;;1;7;1;1;1;2007;;Chile;Antofagasta;3;1;2;;3;;2;1;44;40;30;30;;;3;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;3;3;3;3;3;3;4;3;3;4;3;3;4;2;3;1;3;3;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;3;4;3;4;4;1;5;3;4;5;1;2;;1;1;2;2;1;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;3;;;;;;;;;1;1;;;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;1;2;;18;3;12;4;1;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.64;0.99;0.67;0.81;2;3;2;3
343575369;4483;16-03-2023;0d 0h:29m;1;1;1;Universidad de Buenos Aires;Psicología;América Latina y el Caribe;;Ciencias sociales, periodismo e información;;Ciencias sociales y ciencias del comportamiento;;;;;;;(2009,2020];2;(2009,2020];1;1;2;2004;España;1;2;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;;;;;;;;;1;8;1;2;1;2016;;Chile;Biobio;3;1;2;;2;;1;1;44;60;30;10;;;3;5;3;5;2;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;2;3;4;4;4;3;4;4;3;4;4;4;4;4;2;5;2;3;3;1;2;2001;Chile;Biobio;1;;4;999;6;999;999;999;999;999;2;;;1;1;2005;2015;Chile;Coquimbo;999;;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;999;999;999;999;3;;;;;;;;;1;1;;;;;;;;;;;;;;;1;2;2;2;2;2;2;1;1;2;1;;4;3;1;2;1;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;1;0.93;0;0.94;3;3;1;3
343586121;11912;16-03-2023;0d 0h:37m;1;1;1;Universidad de Ámsterdam;Research Institute of Child Development and Education;Europa y Asia central;;Educación;;;;;;;;;(2009,2020];1;(2020,2021];2;1;2;2015;Chile;1;2;;5;4;5;999;5;5;4;5;5;4;5;4;4;5;5;4;5;4;5;2;;;;;;;;;1;2;2;;;;999;Chile;Maule;3;2;2;;3;;3;2;8;;80;20;;;3;3;2;4;1;4;4;4;5;5;5;5;3;5;5;5;5;3;1;5;;3;1;1;3;2;1;4;4;4;4;3;2;2;2;5;2;3;2;2;;;;;;;;;;;;;;;;;;1;2;2011;2016;Chile;999;2;;3;1;45;2;5;1;3;4;2;4;5;5;5;1;2;;2;2;2;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;1;Uruguay;2;2;2;2;2;1;2;2;;;;2;1;2;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;18;2;;4;1;;;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.87;0.78;0.67;0.65;3;3;2;2
343575744;2998;16-03-2023;0d 0h:43m;1;1;1;PUC;facultad de filosofía y estética;Chile;Metropolitana;Artes y humanidades;Humanidades;;;;;;;;(2009,2020];1;(2009,2020];1;1;2;2015;Chile;1;10;999;999;1;1;999;1;1;5;5;5;4;5;4;5;4;4;4;4;4;999;2;;;;;;;;;1;2;1;1;1;2020;;Chile;Metropolitana;3;3;2;;3;;1;2;10;;100;;;;1;1;1;5;1;5;5;5;5;4;5;5;5;5;1;5;5;4;4;4;;1;3;3;1;1;1;1;1;1;3;3;3;2;2;3;2;1;1;1;2;2014;Chile;Metropolitana;3;1;3;2;6;;100;;;;2;;;2;;;;;;;;;;;5;4;3;1;1;1;5;1;4;5;3;8;;2;2;2;2;2;2;2;2;1;999;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;3;;;;;;;;;2;;;;2;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;1;1;;5;3;6;4;1;0;999;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.6;0.79;0.6;0.46;2;3;2;2
344158586;6260;04-04-2023;0d 0h:22m;1;1;1;University of Cambridge;centre of development studies;Europa y Asia central;;Ciencias sociales, periodismo e información;;Ciencias sociales y ciencias del comportamiento;;;;;;;(2009,2020];2;(2009,2020];2;1;2;2010;Reino Unido;1;2;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;;;;;;;;;1;14;1;1;2;2016;;Chile;Metropolitana;5;;2;;6;;1;1;50;60;10;30;;;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;4;4;4;4;4;4;4;4;4;4;4;4;4;1;3;1;2;2;1;2;2014;Reino Unido;;3;1;4;2;3;80;20;;;;2;;;2;;;;;;;;;;;5;5;5;1;5;1;5;1;5;5;5;999;;;;;;;;;;1;999;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;3;;;;;;;;;1;1;1;;;;;;;;;;;;;;1;2;2;2;2;2;1;1;2;2;2;;7;2;;2;5;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;1;1;0.78;1;3;3;3;3
343161626;14293;09-03-2023;0d 20h:50m;1;1;1;Universidad del Biobío;Ingenieria;Chile;Biobio;Ingeniería, industria y construcción;;;;;Ingeniería y profesiones afines;;;;(2000,2009];1;(2009,2020];2;1;2;2006;Chile;1;9;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;;;;;;;;;1;8;1;1;2;2015;;Chile;Metropolitana;1;;1;3;;;1;1;40;30;20;25;20;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;4;4;4;2;1;3;4;3;3;3;4;1;3;2;2;2;1;2;2020;Chile;Biobio;1;;4;2;6;;40;;60;;1;2;2021;2;;;;;;;;;;;3;3;3;3;3;3;3;3;3;3;3;999;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;3;;;;;;;;;2;;;;;1;1;1;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;1;;999;1;;4;1;1;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;1;0.6;0.6;0.77;3;2;2;3
343581315;6344;16-03-2023;0d 0h:17m;1;1;1;Old Dominion University;Department of Ocean, Earth, and Atmospheric Sciences;América del norte;;Ciencias naturales, matemáticas y estadística;;;;Medioambiente;;;;;(1989,1999];2;(2000,2009];2;1;1;1996;Chile;3;;;5;3;5;2;4;5;5;5;5;5;5;5;4;5;5;5;5;5;4;2;;;;;;;;;1;6;1;1;1;2005;;Chile;Biobio;3;1;2;;1;;1;1;44;30;40;10;20;;3;5;3;5;2;3;3;5;5;5;5;5;5;5;3;5;3;5;3;2;2;4;4;4;4;4;3;4;4;4;4;4;4;4;2;1;1;4;3;1;2;2006;Chile;Biobio;1;;3;2;10;999;999;999;999;999;2;;;2;;;;;;;;;;;5;5;5;1;5;1;5;1;5;5;1;5;;2;2;2;2;2;2;2;2;1;999;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;3;;;;;;;;;1;1;2;2;;;;;;;;;;;;;1;2;2;2;1;2;1;1;2;2;2;;19;2;;4;3;1;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.92;0.81;0.71;0.98;3;3;3;3
343579157;9344;16-03-2023;0d 0h:37m;1;1;1;University of Edinburgh;Facultad de Ciencias Politicas y Sociales;Europa y Asia central;;Ciencias sociales, periodismo e información;;Ciencias sociales y ciencias del comportamiento;;;;;;;(2009,2020];1;(2009,2020];1;1;2;2011;Reino Unido;1;2;;5;5;5;999;5;5;5;5;5;5;5;4;5;4;5;5;4;5;999;2;;;;;;;;;1;5;1;1;1;999;;Chile;Coquimbo;3;2;2;;6;;1;1;45;10;50;30;;10;3;5;4;5;3;5;4;4;5;5;5;5;5;5;5;5;5;4;5;3;2;2;2;3;4;3;2;3;3;3;4;3;3;2;2;4;1;4;3;1;2;2003;Chile;Metropolitana;3;1;3;2;3;10;80;;10;;2;;;1;2;2003;2018;Chile;Metropolitana;3;1;3;2;999;5;5;5;4;4;1;5;1;2;5;2;2;;2;1;2;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;3;;;;;;;;;1;1;2;2;;;;;;;;;;;;;1;2;2;2;2;2;1;1;2;1;2;;20;2;;3;3;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.86;0.92;0.71;0.71;3;3;3;3
343582661;1996;16-03-2023;0d 0h:28m;1;1;1;Universidad de Cádiz;MIDE;Europa y Asia central;;Educación;;;;;;;;;(1999,2000];1;(2000,2009];1;2;2;2006;Argentina;8;;;5;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;4;2;2;;;;;;;;;1;8;1;1;1;2000;;Chile;Valparaíso;3;1;2;;3;;1;1;45;40;20;20;20;;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;1;3;3;2;;;;;;;;;;;;;;;;;;999;;;;;;;;;;;5;5;5;4;4;1;4;2;5;4;1;2;;2;2;2;2;1;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;999;;;;;;;;;1;1;;;;;;;;;;;;;;;2;2;2;2;2;2;2;1;2;2;2;;15;2;;;;1;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.73;0.88;0.73;1;3;3;3;3
343586850;3922;16-03-2023;0d 0h:14m;1;1;1;UCHILE;Facultad de Medicina;Chile;Metropolitana;Salud y bienestar;;;;;;;Salud;;(2000,2009];1;(2000,2009];1;1;1;1998;Chile;1;1;;5;5;5;1;5;1;5;5;5;5;5;5;5;4;5;5;5;5;1;2;;;;;;;;;1;15;1;1;1;2010;;Chile;Metropolitana;3;1;2;;2;;1;1;44;60;20;20;;;3;5;5;5;1;5;2;5;5;5;5;5;5;5;5;5;5;5;5;1;;4;4;4;4;4;4;4;4;4;4;4;4;4;1;3;2;1;1;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;5;5;5;1;5;1;5;1;5;5;1;1;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;3;;;;;;;;;1;2;1;1;;;;;;;;;;;;;2;2;2;2;2;2;2;1;2;2;1;;15;2;;4;5;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.86;0.88;0.71;1;3;3;3;3
343595107;6347;17-03-2023;0d 0h:15m;1;1;1;PUC;Instituto de Astrofísica;América del norte;;Ciencias naturales, matemáticas y estadística;;;;Ciencias físicas;;;;;(2009,2020];2;(2009,2020];1;1;1;2009;Chile;6;;;5;5;5;4;5;4;5;4;5;5;5;5;5;3;4;5;5;3;3;2;;;;;;;;;1;7;1;1;1;2020;;Chile;Metropolitana;3;1;2;;1;;1;1;44;40;30;30;;;3;5;4;5;2;5;4;4;5;5;4;4;5;5;4;4;5;5;3;2;;2;2;4;4;3;3;4;3;4;3;3;3;4;2;1;1;4;3;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;5;5;4;3;5;5;4;2;5;5;5;1;;2;2;2;2;1;2;1;2;1;999;;;;;;;;;;;;;;;;;;;;;;;;999;999;999;999;3;;;;;;;;;1;1;2;2;;;;;;;;;;;;;1;2;2;2;2;2;1;1;2;2;2;;10;3;12;4;5;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.89;0.84;0.87;0.81;3;3;3;3
343599762;14488;17-03-2023;0d 0h:22m;1;1;1;UDEC;Centro EULA;Chile;Biobio;Ciencias naturales, matemáticas y estadística;;;;Medioambiente;;;;;(2009,2020];1;(2009,2020];1;1;1;2009;Chile;1;1;;2;2;2;1;3;2;3;3;3;3;3;1;3;2;2;2;3;2;1;2;;;;;;;;;1;3;1;1;1;2019;;Chile;Maule;3;2;2;;3;;1;1;45;;45;;55;;1;5;4;5;2;4;4;5;5;5;5;5;4;5;3;5;5;1;3;2;;3;3;3;3;2;2;3;3;3;3;3;3;4;2;1;2;4;3;1;1;2020;Chile;La Araucanía;5;;3;2;4;;;;100;;2;;;1;1;2017;2018;Chile;La Araucanía;3;2;2;1;45;3;4;5;3;3;2;2;2;5;3;2;5;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;1;3;;;;;;;;;2;;;;1;1;;;;;;;;;;2;;;;;;;;;;;;;17;3;60;4;5;;;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.45;0.81;0.62;0.73;2;3;2;3
343607089;313;18-03-2023;0d 0h:19m;1;1;1;University of Pennsylvania;Department of Biology;América del norte;;Ciencias naturales, matemáticas y estadística;;;;Ciencias biológicas y afines;;;;;(1979,1989];2;(1989,1999];2;1;1;1987;Chile;2;;;4;4;5;2;3;3;4;4;5;5;5;4;5;3;4;4;5;3;2;2;;;;;;;;;1;8;1;1;1;2000;;Chile;Metropolitana;3;1;2;;3;;1;1;44;40;30;30;;;3;4;4;5;2;3;3;4;4;4;5;5;5;5;5;5;5;5;5;2;;3;2;4;2;2;2;3;4;4;3;3;3;3;1;1;1;4;4;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;4;3;3;4;4;1;4;2;4;4;1;1;;2;2;2;2;2;2;2;2;1;Estados Unidos;2016;2017;2;2;1;2;2;2;2;2;2;;;;;;;;;;;;;1;1;2;2;3;;;;;;;;;1;1;;;;;;;;;;;;;;;1;2;2;2;2;2;1;1;2;2;1;;29;3;48;4;4;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.78;0.84;0.62;0.73;3;3;2;3
343618236;16707;18-03-2023;0d 0h:10m;1;1;1;UCHILE;Departamento de Ingeniería Matemática;Chile;Metropolitana;Ciencias naturales, matemáticas y estadística;;;;Matemática y estadística;;;;;(2009,2020];1;(2020,2021];2;1;2;2016;Chile;1;1;;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;5;3;3;2;4;1;3;2;3;4;3;1;;2;2;2;2;2;2;2;2;1;999;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;3;;;;;;;;;2;;;;2;1;1;2;2;2;2;2;1;2;2;1;1;1;2;1;1;1;2;1;2;1;1;;5;3;6;4;1;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.99;0.98;0.6;0;3;3;2;1
343476947;14537;13-03-2023;0d 0h:11m;1;1;1;Universidade de São Paulo;Departamento de Rehabilitación Oral y Materiales Dentales;América Latina y el Caribe;;Salud y bienestar;;;;;;;Salud;;(2009,2020];2;(2009,2020];1;1;2;2013;Brasil;1;2;;5;3;5;2;3;2;5;4;4;3;4;5;5;4;3;3;4;5;2;2;;;;;;;;;1;2;1;1;1;2011;;Chile;La Araucanía;3;1;2;;2;;1;1;44;40;40;20;;;3;5;4;5;1;3;4;5;5;5;5;5;5;5;5;5;4;4;5;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;2;3;2;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;5;5;5;1;5;1;4;1;5;5;1;8;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;3;;;;;;;;;2;;;;2;2;2;2;2;2;2;;2;2;2;2;;;;;;;;;;;;;30;2;;4;5;;;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.75;0.87;0.69;1;3;3;2;3
343477276;10469;13-03-2023;0d 0h:21m;1;1;1;Universidade de São Paulo;Departamento de Quimica;América Latina y el Caribe;;Ciencias naturales, matemáticas y estadística;;;;Ciencias biológicas y afines;;;;;(2000,2009];1;(2000,2009];1;1;2;2000;Chile;2;;;5;3;5;2;3;2;5;4;4;5;4;4;5;3;4;3;5;4;999;2;;;;;;;;;1;2;1;1;1;2018;;Chile;Metropolitana;3;2;2;;3;;1;1;45;20;80;;;;3;5;5;5;2;4;4;5;5;5;5;5;5;5;4;5;4;5;3;4;1;2;3;3;2;3;2;3;4;2;4;3;4;2;2;5;1;4;2;2;;;;;;;;;;;;;;;;;;1;2;2008;2016;Chile;Metropolitana;5;;3;1;45;1;4;5;4;1;1;3;1;5;5;5;2;;2;2;2;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;3;;;;;;;;;2;;;;2;1;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;1;1;;20;2;;3;1;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.74;0.89;0.64;0.71;3;3;2;3
343644636;14590;21-03-2023;0d 23h:5m;1;1;1;PUC;centro de investigaciones medicas;Chile;Metropolitana;Ciencias naturales, matemáticas y estadística;;;;Ciencias biológicas y afines;;;;;(2009,2020];1;(2009,2020];2;1;2;2016;Chile;1;1;;4;2;5;2;4;4;5;4;4;5;5;3;5;4;5;5;4;5;2;2;;;;;;;;;1;4;1;1;1;2021;;Chile;Antofagasta;3;1;2;;2;;1;1;44;10;20;;;70;3;3;4;5;1;5;5;5;5;5;5;5;3;5;3;4;5;4;3;3;1;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;2;4;3;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;4;5;4;4;5;1;4;1;5;5;1;1;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;3;;;;;;;;;1;1;1;2;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;1;1;;1;2;;4;2;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.81;0.82;0.71;0.98;3;3;3;3
